City,Lat,Long,Country_of_citizenship,COC_Lat,COC_Long,Count
NEW YORK,32.1679,-95.6691,BRAZIL,-14.235004,-51.92528,208
NEW YORK,32.1679,-95.6691,CANADA,56.130366,-106.346771,903
NEW YORK,32.1679,-95.6691,CHINA,35.86166,104.195397,1906
NEW YORK,32.1679,-95.6691,FRANCE,46.227638,2.213749,505
NEW YORK,32.1679,-95.6691,GERMANY,51.165691,10.451526,198
NEW YORK,32.1679,-95.6691,INDIA,20.593684,78.96288,9700
NEW YORK,32.1679,-95.6691,IRAN,32.427908,53.688046,99
NEW YORK,32.1679,-95.6691,ITALY,41.87194,12.56738,250
NEW YORK,32.1679,-95.6691,JAPAN,36.204824,138.252924,387
NEW YORK,32.1679,-95.6691,MEXICO,23.634501,-102.552784,321
NEW YORK,32.1679,-95.6691,NEPAL,28.394857,84.124008,110
NEW YORK,32.1679,-95.6691,PAKISTAN,30.375321,69.345116,124
NEW YORK,32.1679,-95.6691,PHILIPPINES,12.879721,121.774017,300
NEW YORK,32.1679,-95.6691,RUSSIA,61.52401,105.318756,217
NEW YORK,32.1679,-95.6691,SOUTH KOREA,35.907757,127.766922,888
NEW YORK,32.1679,-95.6691,TAIWAN,23.69781,120.960515,215
NEW YORK,32.1679,-95.6691,TURKEY,38.963745,35.243322,191
NEW YORK,32.1679,-95.6691,UNITED KINGDOM,55.378051,-3.435973,619
NEW YORK,32.1679,-95.6691,VENEZUELA,6.42375,-66.58973,84
NEW YORK,32.1679,-95.6691,VIETNAM,14.058324,108.277199,38
COLLEGE STATION,30.5857,-96.296,BRAZIL,-14.235004,-51.92528,3
COLLEGE STATION,30.5857,-96.296,CANADA,56.130366,-106.346771,16
COLLEGE STATION,30.5857,-96.296,CHINA,35.86166,104.195397,41
COLLEGE STATION,30.5857,-96.296,FRANCE,46.227638,2.213749,2
COLLEGE STATION,30.5857,-96.296,GERMANY,51.165691,10.451526,4
COLLEGE STATION,30.5857,-96.296,INDIA,20.593684,78.96288,11908
COLLEGE STATION,30.5857,-96.296,IRAN,32.427908,53.688046,5
COLLEGE STATION,30.5857,-96.296,ITALY,41.87194,12.56738,1
COLLEGE STATION,30.5857,-96.296,JAPAN,36.204824,138.252924,2
COLLEGE STATION,30.5857,-96.296,MEXICO,23.634501,-102.552784,5
COLLEGE STATION,30.5857,-96.296,NEPAL,28.394857,84.124008,8
COLLEGE STATION,30.5857,-96.296,PAKISTAN,30.375321,69.345116,3
COLLEGE STATION,30.5857,-96.296,PHILIPPINES,12.879721,121.774017,4
COLLEGE STATION,30.5857,-96.296,RUSSIA,61.52401,105.318756,1
COLLEGE STATION,30.5857,-96.296,SOUTH KOREA,35.907757,127.766922,8
COLLEGE STATION,30.5857,-96.296,TURKEY,38.963745,35.243322,2
COLLEGE STATION,30.5857,-96.296,UNITED KINGDOM,55.378051,-3.435973,5
COLLEGE STATION,30.5857,-96.296,VENEZUELA,6.42375,-66.58973,3
COLLEGE STATION,30.5857,-96.296,VIETNAM,14.058324,108.277199,1
SANTA CLARA,32.7778,-108.1555,BRAZIL,-14.235004,-51.92528,26
SANTA CLARA,32.7778,-108.1555,CANADA,56.130366,-106.346771,369
SANTA CLARA,32.7778,-108.1555,CHINA,35.86166,104.195397,1227
SANTA CLARA,32.7778,-108.1555,FRANCE,46.227638,2.213749,76
SANTA CLARA,32.7778,-108.1555,GERMANY,51.165691,10.451526,36
SANTA CLARA,32.7778,-108.1555,INDIA,20.593684,78.96288,7604
SANTA CLARA,32.7778,-108.1555,IRAN,32.427908,53.688046,20
SANTA CLARA,32.7778,-108.1555,ITALY,41.87194,12.56738,33
SANTA CLARA,32.7778,-108.1555,JAPAN,36.204824,138.252924,52
SANTA CLARA,32.7778,-108.1555,MEXICO,23.634501,-102.552784,85
SANTA CLARA,32.7778,-108.1555,NEPAL,28.394857,84.124008,31
SANTA CLARA,32.7778,-108.1555,PAKISTAN,30.375321,69.345116,54
SANTA CLARA,32.7778,-108.1555,PHILIPPINES,12.879721,121.774017,53
SANTA CLARA,32.7778,-108.1555,RUSSIA,61.52401,105.318756,77
SANTA CLARA,32.7778,-108.1555,SOUTH KOREA,35.907757,127.766922,389
SANTA CLARA,32.7778,-108.1555,TAIWAN,23.69781,120.960515,346
SANTA CLARA,32.7778,-108.1555,TURKEY,38.963745,35.243322,97
SANTA CLARA,32.7778,-108.1555,UNITED KINGDOM,55.378051,-3.435973,86
